n,lambda_min,lambda_max,rotations,sweeps,off_diagonal_norm,max_residual,orthogonality_error,max_exact_eigenvalue_error,max_exact_vector_angle_error
89,2.0012183459618096e+00,5.9987816540381891e+00,14032,3.58324821,1.3250217287632069e-11,1.0506410556369398e-13,3.0276078157009211e-14,7.9936057773011271e-15,0.0000000000000000e+00
90,2.0011917188978599e+00,5.9988082811021366e+00,14313,3.57378277,1.3313103879438442e-11,1.1200299946760121e-13,3.0997236504124010e-14,9.7699626167013776e-15,0.0000000000000000e+00
91,2.0011659552676502e+00,5.9988340447323445e+00,14745,3.60073260,1.3372247785477953e-11,9.6311847386232330e-14,3.3122129660929360e-14,9.7699626167013776e-15,0.0000000000000000e+00
92,2.0011410181405660e+00,5.9988589818594349e+00,14903,3.56020067,1.3460779024618503e-11,9.7311048108394971e-14,2.8950166514554355e-14,7.9936057773011271e-15,0.0000000000000000e+00
93,2.0011168725394937e+00,5.9988831274605143e+00,15252,3.56521739,1.3528164634090100e-11,9.6635662435081330e-14,3.1446520503057795e-14,8.8817841970012523e-15,0.0000000000000000e+00
94,2.0010934853181475e+00,5.9989065146818552e+00,15589,3.56646076,1.3623494011001129e-11,1.1522264623901415e-13,3.2120761978094678e-14,8.8817841970012523e-15,0.0000000000000000e+00
95,2.0010708250472677e+00,5.9989291749527256e+00,15919,3.56528555,1.3708434888572873e-11,1.0685896612017132e-13,3.3391021436885624e-14,8.8817841970012523e-15,0.0000000000000000e+00
96,2.0010488619089712e+00,5.9989511380910230e+00,16354,3.58640351,1.3765577452015796e-11,1.0511961671492524e-13,3.3802199946304005e-14,8.8817841970012523e-15,0.0000000000000000e+00
97,2.0010275675986251e+00,5.9989724324013700e+00,16525,3.54918385,1.3842760416023664e-11,1.1225048668350723e-13,3.3490069458641507e-14,9.7699626167013776e-15,0.0000000000000000e+00
98,2.0010069152336318e+00,5.9989930847663659e+00,16984,3.57332211,1.3892827088456892e-11,1.1464903100962451e-13,3.3589606554714885e-14,1.1546319456101628e-14,0.0000000000000000e+00
99,2.0009868792685364e+00,5.9990131207314592e+00,17252,3.55638013,1.3960258510104691e-11,1.1921944912766472e-13,3.3087224124648040e-14,9.7699626167013776e-15,0.0000000000000000e+00
100,2.0009674354160252e+00,5.9990325645839730e+00,17659,3.56747475,1.4030621412094027e-11,1.3475563257851300e-13,3.3244914326621078e-14,1.1546319456101628e-14,0.0000000000000000e+00
